variavel,categoria,n,reward_estimado_lints,reward_estimado_baseline,lift_absoluto_estimado,lift_relativo_estimado,match_rate,reward_observado_matches,pct_cellular_lints,pct_telephone_lints
education,basic.6y,33,0.7645986581786117,0.77220696243287,-0.007608304254258291,-0.009852675026767453,0.696969696969697,0.6956521739130435,0.9393939393939394,0.06060606060606061
education,unknown,162,0.7390471520482623,0.7628799673522011,-0.02383281530393877,-0.031240583478233875,0.7654320987654321,0.5645161290322581,0.8950617283950617,0.10493827160493827
education,basic.9y,123,0.677859677414724,0.7027644610380563,-0.02490478362333237,-0.03543830828688379,0.6991869918699187,0.5232558139534884,0.8861788617886179,0.11382113821138211
education,university.degree,788,0.7173772089755461,0.7433028520103623,-0.025925643034816148,-0.034878976940148645,0.7373096446700508,0.5542168674698795,0.8591370558375635,0.14086294416243655
education,professional.course,296,0.7226415604693236,0.75385982219568,-0.031218261726356444,-0.041411228994046444,0.6824324324324325,0.5594059405940595,0.8513513513513513,0.14864864864864866
education,basic.4y,201,0.7001058496394914,0.732744823703353,-0.032638974063861625,-0.044543438599677236,0.7313432835820896,0.6122448979591837,0.8756218905472637,0.12437810945273632
education,high.school,455,0.6918288598299686,0.730798948020321,-0.038970088190352414,-0.05332532059045711,0.6417582417582418,0.5547945205479452,0.8241758241758241,0.17582417582417584
faixa_etaria,Entre 31 e 40 anos,626,0.7146492625028128,0.7396829763233722,-0.02503371382055941,-0.03384384205378177,0.7092651757188498,0.5495495495495496,0.8849840255591054,0.11501597444089456
faixa_etaria,Até 25 anos,200,0.7365097121018336,0.7641099457936765,-0.027600233691842946,-0.036120762259120635,0.68,0.5882352941176471,0.86,0.14
faixa_etaria,Entre 26 e 30 anos,385,0.7345509114085166,0.7625407961393607,-0.027989884730844072,-0.03670608165825752,0.7090909090909091,0.5091575091575091,0.8545454545454545,0.14545454545454545
faixa_etaria,Mais de 60 anos,313,0.7179776772751815,0.7491024481909786,-0.03112477091579713,-0.041549418228389076,0.7571884984025559,0.5738396624472574,0.853035143769968,0.14696485623003194
faixa_etaria,Entre 50 e 60 anos,264,0.6854851765150743,0.721067833060005,-0.035582656544930646,-0.049347169452737975,0.7234848484848485,0.5654450261780105,0.8484848484848485,0.15151515151515152
faixa_etaria,Entre 41 e 50 anos,270,0.666159640811221,0.7033225399418194,-0.03716289913059834,-0.05283905608040451,0.6444444444444445,0.6379310344827587,0.8111111111111111,0.18888888888888888
job,entrepreneur,26,0.7252563569418228,0.7401913885322913,-0.014935031590468495,-0.020177256614782875,0.6538461538461539,0.47058823529411764,0.8846153846153846,0.11538461538461539
job,management,120,0.7022794607606813,0.7235320468054741,-0.021252586044792854,-0.02937338593173156,0.7333333333333333,0.5568181818181818,0.8833333333333333,0.11666666666666667
job,unknown,18,0.6943410910807379,0.7157397048152038,-0.021398613734465832,-0.029897200882534135,0.6111111111111112,0.5454545454545454,0.7777777777777778,0.2222222222222222
job,unemployed,86,0.713952001906943,0.736056403314409,-0.022104401407466057,-0.030030852673696644,0.5930232558139535,0.6862745098039216,0.8488372093023255,0.1511627906976744
job,admin.,641,0.7154639938649868,0.7413941591577816,-0.025930165292794793,-0.03497487129147507,0.7301092043681747,0.5790598290598291,0.8673946957878315,0.13260530421216848
job,blue-collar,136,0.6746281165891614,0.7017458037507072,-0.027117687161545723,-0.03864317679793236,0.6323529411764706,0.5348837209302325,0.8529411764705882,0.14705882352941177
job,retired,274,0.7355989499100419,0.7629212761138631,-0.027322326203821135,-0.03581277264017917,0.7700729927007299,0.5545023696682464,0.8832116788321168,0.11678832116788321
job,housemaid,55,0.6650680411481746,0.6989294860703552,-0.03386144492218057,-0.04844758390801677,0.6727272727272727,0.5945945945945946,0.8181818181818182,0.18181818181818182
job,student,209,0.7490356019778525,0.7852002133821154,-0.03616461140426297,-0.04605782167135449,0.6985645933014354,0.5547945205479452,0.8421052631578947,0.15789473684210525
job,technician,317,0.705591656195524,0.7427041094966412,-0.03711245330111723,-0.049969365762995106,0.7066246056782335,0.5446428571428571,0.8391167192429022,0.1608832807570978
job,services,123,0.6573838362565009,0.6952096913564928,-0.03782585509999192,-0.05440927474153321,0.6178861788617886,0.5394736842105263,0.8292682926829268,0.17073170731707318
job,self-employed,53,0.68736916455363,0.7303648243975739,-0.042995659843943934,-0.05886874395875787,0.7547169811320755,0.5,0.8679245283018868,0.1320754716981132
marital,married,983,0.6959692147845656,0.7247132205473908,-0.02874400576282521,-0.03966259335122142,0.7151576805696847,0.5704125177809388,0.861648016276704,0.13835198372329605
marital,single,850,0.7316428897812038,0.7610774395949931,-0.029434549813789235,-0.038674842115216046,0.7082352941176471,0.5348837209302325,0.86,0.14
marital,divorced,222,0.6949104302996468,0.7298501403535563,-0.0349397100539095,-0.04787244411158693,0.6666666666666666,0.6283783783783784,0.8333333333333334,0.16666666666666666
marital,unknown,3,0.9094580905915123,0.944716078136679,-0.035257987545166736,-0.03732125276697758,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333
