alpha,l2_lambda,seed,reward_estimado,reward_observado_matches,match_rate,n_matches
0.1,0.1,42,0.4313189851849226,0.18380213385063046,0.5407342657342658,6186
0.1,0.1,123,0.43398877450630974,0.17801214445509747,0.547027972027972,6258
0.1,0.1,2026,0.43481727158472594,0.1808,0.5463286713286714,6250
0.1,1.0,42,0.5224664680120771,0.16164346533315313,0.6467657342657342,7399
0.1,1.0,123,0.5220802451997566,0.16048212351029253,0.6454545454545455,7384
0.1,1.0,2026,0.523997593923885,0.16016260162601625,0.6451048951048951,7380
0.1,10.0,42,0.6656621838528556,0.1663390126692879,0.8003496503496503,9156
0.1,10.0,123,0.6633178194891939,0.16628377639207964,0.7990384615384616,9141
0.1,10.0,2026,0.6658128749702278,0.16897416330535267,0.8018356643356643,9173
0.25,0.1,42,0.4087764356128649,0.19143534190927555,0.5164335664335664,5908
0.25,0.1,123,0.40916212752779707,0.18489232839838493,0.5195804195804196,5944
0.25,0.1,2026,0.4137964716590926,0.19094553959238222,0.5232517482517482,5986
0.25,1.0,42,0.45192292880723267,0.17999382525470825,0.5662587412587412,6478
0.25,1.0,123,0.45254331669466474,0.17218543046357615,0.5675699300699301,6493
0.25,1.0,2026,0.45273875643198247,0.17781554147999382,0.5658216783216783,6473
0.25,10.0,42,0.6366946040469199,0.16889040939673852,0.766520979020979,8769
0.25,10.0,123,0.6361753018745321,0.1697425381635908,0.7673076923076924,8778
0.25,10.0,2026,0.6390590906081812,0.16953957813563167,0.7708041958041958,8818
0.5,0.1,42,0.40036382944921517,0.1951936376210235,0.5055944055944056,5784
0.5,0.1,123,0.40166837130510824,0.18834387284224918,0.511451048951049,5851
0.5,0.1,2026,0.4058892448709785,0.1926994906621392,0.5148601398601399,5890
0.5,1.0,42,0.4213977473345356,0.18662493823093396,0.5306818181818181,6071
0.5,1.0,123,0.42272786140104734,0.18154957321076823,0.5325174825174825,6092
0.5,1.0,2026,0.42642900273417944,0.18537221045772928,0.5366258741258741,6139
0.5,10.0,42,0.5520474344741259,0.1765772768493328,0.6747377622377623,7719
0.5,10.0,123,0.5524855323399668,0.1775155601659751,0.6741258741258741,7712
0.5,10.0,2026,0.5543347711919117,0.178303594517714,0.676048951048951,7734
1.0,0.1,42,0.3962183131587826,0.1954283720118653,0.5009615384615385,5731
1.0,0.1,123,0.39779583944653335,0.19045978990873083,0.5076048951048951,5807
1.0,0.1,2026,0.40254809044775625,0.19528446950281908,0.5116258741258741,5853
1.0,1.0,42,0.40860077585611676,0.19080732700135686,0.5153846153846153,5896
1.0,1.0,123,0.40743755491255795,0.18539230638874768,0.5158216783216784,5901
1.0,1.0,2026,0.41023797150986757,0.19133513149022252,0.5185314685314686,5932
1.0,10.0,42,0.48287677884595137,0.1831480397893505,0.5975524475524475,6836
1.0,10.0,123,0.48152264629890845,0.18204525418748163,0.5949300699300699,6806
1.0,10.0,2026,0.4837250015764531,0.18661971830985916,0.5958041958041959,6816
2.0,0.1,42,0.3947248207069095,0.19544259421560034,0.4986888111888112,5705
2.0,0.1,123,0.39602070334757494,0.19101123595505617,0.5056818181818182,5785
2.0,0.1,2026,0.401059153113895,0.19649905611807106,0.5093531468531468,5827
2.0,1.0,42,0.40150223180798195,0.19357056902183256,0.508479020979021,5817
2.0,1.0,123,0.4005735969851607,0.18842322226039163,0.5089160839160839,5822
2.0,1.0,2026,0.4040507667411912,0.19296448087431695,0.5118881118881119,5856
2.0,10.0,42,0.44137412650629354,0.18736141906873613,0.551923076923077,6314
2.0,10.0,123,0.43897105025315497,0.18877226463104327,0.5496503496503496,6288
2.0,10.0,2026,0.4397388351124035,0.1897647806738716,0.55,6292
