alpha,l2_lambda,reward_estimado_medio,reward_estimado_std,reward_observado_matches_medio,match_rate_medio
0.1,10.0,0.6649309594374258,0.001399050507540673,0.16719898412224007,0.8004079254079254
0.25,10.0,0.6373096655098777,0.0015371352632387997,0.1693908418986537,0.7682109557109557
0.5,10.0,0.5529559126686681,0.0012140512984856497,0.17746547717767394,0.6749708624708625
0.1,1.0,0.5228481023785729,0.0010140464115351387,0.16076273015648732,0.6457750582750582
1.0,10.0,0.4827081422404376,0.0011108199317043201,0.18393767076223044,0.5960955710955711
0.25,1.0,0.45240166731129333,0.0004259601967124812,0.17666493239942607,0.5665501165501166
2.0,10.0,0.440028003957284,0.001227358071321,0.18863282145788365,0.5505244755244756
0.1,0.1,0.4333750104253194,0.0018281224505206277,0.18087142610190932,0.5446969696969698
0.5,1.0,0.4235182038232541,0.0026070795120912804,0.18451557396647714,0.5332750582750583
0.25,0.1,0.41057834493325157,0.002793643549379657,0.1890910699666809,0.5197552447552448
1.0,1.0,0.4087587674261808,0.0014068774935225316,0.189178254960109,0.5165792540792541
0.5,0.1,0.4026404818751006,0.002888131422907048,0.19207900037513728,0.5106351981351982
2.0,1.0,0.4020421985114446,0.0018003750744496544,0.1916527573855137,0.5097610722610723
1.0,0.1,0.39885408101769076,0.003294909186790428,0.19372421047447175,0.5067307692307693
2.0,0.1,0.39726822572279313,0.0033463675557309992,0.19431762876290917,0.5045745920745921
